id_chamado,data_inicio,data_fim,id_bairro,id_territorialidade,id_logradouro,numero_logradouro,id_unidade_organizacional,nome_unidade_organizacional,id_unidade_organizacional_mae,unidade_organizacional_ouvidoria,categoria,id_tipo,tipo,id_subtipo,subtipo,status,longitude,latitude,data_alvo_finalizacao,data_alvo_diagnostico,data_real_diagnostico,tempo_prazo,prazo_unidade,prazo_tipo,dentro_prazo,situacao,tipo_situacao,justificativa_status,reclamacoes,data_particao,geometry
18516257,2023-04-01T01:11:48,,55,3,59899,87,118,COMLURB - Companhia Municipal de Limpeza Urbana,COMLURB - Companhia Municipal de Limpeza Urbana,False,Serviço,279,Comlurb - Vetores,1316,Controle de roedores e caramujos africanos,Aberto,,,2023-04-14T00:00:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,
18516256,2023-04-01T01:10:22,,55,3,59899,87,118,COMLURB - Companhia Municipal de Limpeza Urbana,COMLURB - Companhia Municipal de Limpeza Urbana,False,Serviço,279,Comlurb - Vetores,1316,Controle de roedores e caramujos africanos,Aberto,,,2023-04-14T00:00:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,
18516264,2023-04-01T01:26:17,,55,3,59899,2,776,GLF – Meier,"SMDEIS - Secretaria Municipal de Desenvolvimento Econômico, Inovação e Simplificação",False,Serviço,358,Fiscalização de obras,2345,Fiscalização de obras em imóvel privado,Aberto,,,2023-04-26T00:00:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,
18516265,2023-04-01T01:26:35,,55,3,59899,2,776,GLF – Meier,"SMDEIS - Secretaria Municipal de Desenvolvimento Econômico, Inovação e Simplificação",False,Serviço,358,Fiscalização de obras,2345,Fiscalização de obras em imóvel privado,Aberto,,,2023-04-26T00:00:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,
18516251,2023-04-01T01:03:21,,66,3,70144,400,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Em Andamento,,,2023-04-08T01:03:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,
18516206,2023-04-01T00:12:48,,68,3,81869,15,8,RIOLUZ - Companhia Municipal de Energia e Iluminação,RIOLUZ - Companhia Municipal de Energia e Iluminação,False,Serviço,1,Iluminação Pública,5799,Reparo de Luminária,Aberto,,,2023-04-04T00:12:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,
18516235,2023-04-01T00:36:49,2023-04-01T01:39:37,128,4,151902,30,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,782,Estacionamento Irregular,2966,Fiscalização de estacionamento irregular de veículo,Fechado com solução,-43.3374538,-23.0091735,2023-04-01T02:36:00,,,,H,F,No prazo,Encerrado,Atendido,,0,2023-04-01,POINT(-43.3374538 -23.0091735)
18516242,2023-04-01T00:41:32,2023-04-01T01:40:36,128,4,151902,360,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,782,Estacionamento Irregular,2966,Fiscalização de estacionamento irregular de veículo,Fechado com solução,-43.3376669,-23.0100851,2023-04-01T02:41:00,,,,H,F,No prazo,Encerrado,Atendido,,0,2023-04-01,POINT(-43.3376669 -23.0100851)
18516192,2023-04-01T00:04:35,2023-04-01T01:58:35,128,4,148445,120,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,782,Estacionamento Irregular,2966,Fiscalização de estacionamento irregular de veículo,Fechado com solução,-43.3219,-23.0101685,2023-04-01T02:04:00,,,,H,F,No prazo,Encerrado,Atendido,,0,2023-04-01,POINT(-43.3219 -23.0101685)
18516236,2023-04-01T00:37:04,,115,4,197764,117,8,RIOLUZ - Companhia Municipal de Energia e Iluminação,RIOLUZ - Companhia Municipal de Energia e Iluminação,False,Serviço,1,Iluminação Pública,6,Reparo de lâmpada apagada,Aberto,-43.3730297,-22.9746326,2023-04-05T00:37:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.3730297 -22.9746326)
18516215,2023-04-01T00:17:06,,122,4,40832,1973,8,RIOLUZ - Companhia Municipal de Energia e Iluminação,RIOLUZ - Companhia Municipal de Energia e Iluminação,False,Serviço,1,Iluminação Pública,6,Reparo de lâmpada apagada,Aberto,-43.3714843,-22.9243085,2023-04-05T00:17:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.3714843 -22.9243085)
18516229,2023-04-01T00:31:48,,123,4,23044,40,181,16aGC,SECONSERVA,False,Serviço,8,Pavimentação,78,"Reparo de buraco, deformação ou afundamento na pista",Aberto,-43.3614333,-22.9173627,2023-04-12T00:00:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.3614333 -22.9173627)
18516222,2023-04-01T00:21:19,,121,4,1610,0,118,COMLURB - Companhia Municipal de Limpeza Urbana,COMLURB - Companhia Municipal de Limpeza Urbana,False,Serviço,272,Limpeza,1289,Limpeza das margens de rios,Aberto,-43.3487962,-22.9311496,2023-04-26T00:00:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.3487962 -22.9311496)
18516183,2023-04-01T00:02:05,,127,4,162859,0,922,Central de Ambulâncias,SMS - Secretaria Municipal de Saúde,False,Serviço,398,Programa Cegonha Carioca,2819,Solicitação de transporte da gestante para a maternidade,Em Andamento,-43.3336748,-22.9786046,2023-04-01T04:02:00,,,,H,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.3336748 -22.9786046)
